countries,x,y
Mali,-175,148
Mauritania,-262,164
Niger,-72,140
Chad,9,117
Algeria,-135,253
Senegal,-289,118
Gambia,-293,102
Guinea Bisau,-600,-500
Guinea,-600,-500
Sierra Leone,-600,-500
Liberia,-600,-500
Ivory Coast,-600,-500
Ghana,-600,-500
Togo,-600,-500
Burkina Faso,-600,-500
Benin,-600,-500
Nigeria,-104,68
Morocco,-214,291
Tunisia,-39,462
Libya,2,234
Egypt,110,233
Sudan,107,110
Eritrea,207,159
Djibouti,247,102
Ethiopia,187,67
Somalia,254,19
Kenya,185,-9
Uganda,138,5
Rwanda,119,-31
Burundi,118,-46
Tanzania,161,-71
Malawi,153,-127
Zambia,80,-145
Mozambique,185,-147
Zimbabwe,106,-187
Botswana,51,-220
Namibia,-14,-203
South Africa,43,-297
Lesotho,-600,500
Eswatini,-600,500
Angola,-600,500
DRC,50,-33
South Sudan,86,63
Central African Republic,-1,43
Cameroon,-62,28
Gabon,-58,-20
Equatorial Guinea,-162,-2
Madagascar,266,-181
Capo Verde,-600,500
Mauritus,-600,500
Sao tome and principe,-600,500
comoros,-600,500
Seychelles,-600,500
Republic of the congo,-14,-11
